global_idx,fold,frame_idx_in_fold,sample_id,case,label,image_path,pc1,pc2
0,fold_1,0,0,case10,positive,Sun_Multimodal/Train/case10_img_001.jpg,-0.023182195547143042,-0.1145390348417269
1,fold_1,1,1,case10,positive,Sun_Multimodal/Train/case10_img_002.jpg,0.16638791266542002,0.08162815812225993
2,fold_1,2,2,case10,positive,Sun_Multimodal/Train/case10_img_003.jpg,0.20960781445156962,0.13282017553179193
3,fold_1,3,3,case10,positive,Sun_Multimodal/Train/case10_img_004.jpg,0.21872892022636187,0.1842234644191758
4,fold_1,4,4,case10,positive,Sun_Multimodal/Train/case10_img_005.jpg,0.0793134347469806,0.030814148755146424
5,fold_1,5,5,case10,positive,Sun_Multimodal/Train/case10_img_006.jpg,0.03799021915709366,-0.2076687832405973
6,fold_1,6,6,case10,positive,Sun_Multimodal/Train/case10_img_007.jpg,0.08183414607581291,-0.1879325473599357
7,fold_1,7,7,case10,positive,Sun_Multimodal/Train/case10_img_008.jpg,0.07628209361517568,-0.17551237568765418
8,fold_1,8,8,case10,positive,Sun_Multimodal/Train/case10_img_009.jpg,0.12152517911224164,-0.10235714659296141
9,fold_1,9,9,case10,positive,Sun_Multimodal/Train/case10_img_010.jpg,0.17237363773718556,-0.05483568062130496
10,fold_1,10,10,case10,positive,Sun_Multimodal/Train/case10_img_011.jpg,0.19626148472763766,0.05399500331596329
11,fold_1,11,11,case10,positive,Sun_Multimodal/Train/case10_img_012.jpg,0.19730903751294943,0.1429286458532105
12,fold_1,12,12,case10,positive,Sun_Multimodal/Train/case10_img_013.jpg,0.19528991114658462,0.14806287018576175
13,fold_1,13,13,case10,positive,Sun_Multimodal/Train/case10_img_014.jpg,0.21125829697848297,0.15238409213479617
14,fold_1,14,14,case10,positive,Sun_Multimodal/Train/case10_img_015.jpg,0.2031526774851216,0.0679364250769118
15,fold_1,15,15,case10,positive,Sun_Multimodal/Train/case10_img_016.jpg,0.20820822385917942,0.07692418928735614
16,fold_1,16,16,case10,positive,Sun_Multimodal/Train/case10_img_017.jpg,0.20786269187945222,0.06320538576064175
17,fold_1,17,17,case10,positive,Sun_Multimodal/Train/case10_img_018.jpg,0.20710702504321282,0.06117784828103414
18,fold_1,18,18,case10,positive,Sun_Multimodal/Train/case10_img_019.jpg,0.20438033020765273,0.08599487242672887
19,fold_1,19,19,case10,positive,Sun_Multimodal/Train/case10_img_020.jpg,0.20528158250823642,0.08616267745624223
20,fold_1,20,20,case10,positive,Sun_Multimodal/Train/case10_img_021.jpg,0.21453801680682666,0.08084125155815633
21,fold_1,21,21,case10,positive,Sun_Multimodal/Train/case10_img_022.jpg,0.1158694966936678,0.1434349028789671
22,fold_1,22,22,case10,positive,Sun_Multimodal/Train/case10_img_023.jpg,0.19921997734440106,0.06946150161358869
23,fold_1,23,23,case10,positive,Sun_Multimodal/Train/case10_img_024.jpg,0.18962564687554906,0.031222598707120554
24,fold_1,24,24,case10,positive,Sun_Multimodal/Train/case10_img_025.jpg,0.12608718909284022,-0.012299935034234759
25,fold_1,25,25,case10,positive,Sun_Multimodal/Train/case10_img_026.jpg,0.11711651361834668,-0.08191635007781034
26,fold_1,26,26,case10,positive,Sun_Multimodal/Train/case10_img_027.jpg,0.09674033063282994,-0.09925161456016793
27,fold_1,27,27,case10,positive,Sun_Multimodal/Train/case10_img_028.jpg,0.06876653270171057,-0.2111537799725542
28,fold_1,28,28,case10,positive,Sun_Multimodal/Train/case10_img_029.jpg,-0.0046342615317861435,-0.3389696058619976
29,fold_1,29,29,case10,positive,Sun_Multimodal/Train/case10_img_030.jpg,-0.0037254250071361017,-0.2702446547079855
30,fold_1,30,30,case10,positive,Sun_Multimodal/Train/case10_img_031.jpg,0.04257574206720721,-0.14189009720994983
31,fold_1,31,31,case10,positive,Sun_Multimodal/Train/case10_img_032.jpg,0.11066986852809096,-0.24344046818056753
