global_idx,fold,frame_idx_in_fold,sample_id,case,label,image_path,pc1,pc2
0,fold_1,0,0,case10,positive,Sun_Multimodal/Train/case10_img_001.jpg,-0.8185545530288224,0.395265892250663
1,fold_1,1,1,case10,positive,Sun_Multimodal/Train/case10_img_002.jpg,0.17388458430505938,0.28658424295480744
2,fold_1,2,2,case10,positive,Sun_Multimodal/Train/case10_img_003.jpg,0.23796821384245503,0.25228455088679463
3,fold_1,3,3,case10,positive,Sun_Multimodal/Train/case10_img_004.jpg,0.39953830610377605,0.1975150058631483
4,fold_1,4,4,case10,positive,Sun_Multimodal/Train/case10_img_005.jpg,-0.6792035139428307,0.19339292891951504
5,fold_1,5,5,case10,positive,Sun_Multimodal/Train/case10_img_006.jpg,0.07477001661197202,0.29437019101824335
6,fold_1,6,6,case10,positive,Sun_Multimodal/Train/case10_img_007.jpg,-0.03579454191834275,0.23838498631067656
7,fold_1,7,7,case10,positive,Sun_Multimodal/Train/case10_img_008.jpg,-0.3126447488483224,0.42813676785444366
8,fold_1,8,8,case10,positive,Sun_Multimodal/Train/case10_img_009.jpg,-0.02958604583714819,0.29978393826789645
9,fold_1,9,9,case10,positive,Sun_Multimodal/Train/case10_img_010.jpg,0.05274939039722404,0.2572427727787592
10,fold_1,10,10,case10,positive,Sun_Multimodal/Train/case10_img_011.jpg,0.4313770798453136,0.15933140370538745
11,fold_1,11,11,case10,positive,Sun_Multimodal/Train/case10_img_012.jpg,0.34515278866456334,0.29676931224580155
12,fold_1,12,12,case10,positive,Sun_Multimodal/Train/case10_img_013.jpg,0.5130026917094848,0.19600557583507927
13,fold_1,13,13,case10,positive,Sun_Multimodal/Train/case10_img_014.jpg,0.5111271263747466,0.10121034606102008
14,fold_1,14,14,case10,positive,Sun_Multimodal/Train/case10_img_015.jpg,0.4375141576372885,0.1584255672840683
15,fold_1,15,15,case10,positive,Sun_Multimodal/Train/case10_img_016.jpg,0.3491453138423528,0.19135261702714812
16,fold_1,16,16,case10,positive,Sun_Multimodal/Train/case10_img_017.jpg,0.3491776023179005,0.15229909443642864
17,fold_1,17,17,case10,positive,Sun_Multimodal/Train/case10_img_018.jpg,0.3499307807122036,0.19074342967455182
18,fold_1,18,18,case10,positive,Sun_Multimodal/Train/case10_img_019.jpg,0.3674585602478728,0.17658770868572382
19,fold_1,19,19,case10,positive,Sun_Multimodal/Train/case10_img_020.jpg,0.37330349424676257,0.20135400385184
20,fold_1,20,20,case10,positive,Sun_Multimodal/Train/case10_img_021.jpg,0.3841289948835549,0.17426108964408343
21,fold_1,21,21,case10,positive,Sun_Multimodal/Train/case10_img_022.jpg,-0.3091289402844577,0.033314899674307785
22,fold_1,22,22,case10,positive,Sun_Multimodal/Train/case10_img_023.jpg,0.1607251235968461,0.1386805844179016
23,fold_1,23,23,case10,positive,Sun_Multimodal/Train/case10_img_024.jpg,0.10421257977396992,0.3650351464614163
24,fold_1,24,24,case10,positive,Sun_Multimodal/Train/case10_img_025.jpg,0.2600718245536251,0.2006470256778622
25,fold_1,25,25,case10,positive,Sun_Multimodal/Train/case10_img_026.jpg,0.0286932385745875,0.30952936249627383
26,fold_1,26,26,case10,positive,Sun_Multimodal/Train/case10_img_027.jpg,0.10804813795785306,0.29885319339126526
27,fold_1,27,27,case10,positive,Sun_Multimodal/Train/case10_img_028.jpg,-0.045222555888252414,0.2043618569813626
28,fold_1,28,28,case10,positive,Sun_Multimodal/Train/case10_img_029.jpg,0.07304297279558325,0.2825131758387465
29,fold_1,29,29,case10,positive,Sun_Multimodal/Train/case10_img_030.jpg,-0.009282743082793532,0.13256118458083999
30,fold_1,30,30,case10,positive,Sun_Multimodal/Train/case10_img_031.jpg,-0.10013524897756132,0.1884977340085262
31,fold_1,31,31,case10,positive,Sun_Multimodal/Train/case10_img_032.jpg,0.33728036143338547,0.2349213016550925
32,fold_1,32,32,case10,positive,Sun_Multimodal/Train/case10_img_033.jpg,0.0032986694277572504,0.3766925196812827
33,fold_1,33,33,case10,positive,Sun_Multimodal/Train/case10_img_034.jpg,0.2154521178461184,0.4938397906508617
