global_idx,fold,frame_idx_in_fold,sample_id,case,label,image_path,pc1,pc2
0,fold_1,0,0,case10,positive,Sun_Multimodal/Train/case10_img_001.jpg,-2.947975899791194,1.6124997708330473
1,fold_1,1,1,case10,positive,Sun_Multimodal/Train/case10_img_002.jpg,1.1332630505167502,0.6020681898679925
2,fold_1,2,2,case10,positive,Sun_Multimodal/Train/case10_img_003.jpg,1.0708158048392653,0.7629252502196637
3,fold_1,3,3,case10,positive,Sun_Multimodal/Train/case10_img_004.jpg,1.15075467215573,1.0408026201640932
4,fold_1,4,4,case10,positive,Sun_Multimodal/Train/case10_img_005.jpg,1.1978961560532768,0.11603051709943779
5,fold_1,5,5,case10,positive,Sun_Multimodal/Train/case10_img_006.jpg,1.7077035925760005,0.6113704784244485
6,fold_1,6,6,case10,positive,Sun_Multimodal/Train/case10_img_007.jpg,1.526648648667617,0.5594854770576443
7,fold_1,7,7,case10,positive,Sun_Multimodal/Train/case10_img_008.jpg,1.4438327235069697,0.41668814979812385
8,fold_1,8,8,case10,positive,Sun_Multimodal/Train/case10_img_009.jpg,1.505400285912571,0.8255202926965399
9,fold_1,9,9,case10,positive,Sun_Multimodal/Train/case10_img_010.jpg,1.6541769489729423,0.7596522603424627
10,fold_1,10,10,case10,positive,Sun_Multimodal/Train/case10_img_011.jpg,1.6258848753626227,0.583243326406649
11,fold_1,11,11,case10,positive,Sun_Multimodal/Train/case10_img_012.jpg,2.1848080292287992,0.7993464243398345
12,fold_1,12,12,case10,positive,Sun_Multimodal/Train/case10_img_013.jpg,2.151096824245946,1.1708496983741745
13,fold_1,13,13,case10,positive,Sun_Multimodal/Train/case10_img_014.jpg,2.211160509424344,1.0079375066607712
14,fold_1,14,14,case10,positive,Sun_Multimodal/Train/case10_img_015.jpg,2.1389327562258886,0.6326244098868701
15,fold_1,15,15,case10,positive,Sun_Multimodal/Train/case10_img_016.jpg,2.155369840469217,0.5732231082407879
16,fold_1,16,16,case10,positive,Sun_Multimodal/Train/case10_img_017.jpg,2.0837593625367488,0.8873820526943833
17,fold_1,17,17,case10,positive,Sun_Multimodal/Train/case10_img_018.jpg,2.1026521365392785,0.9438703102286565
18,fold_1,18,18,case10,positive,Sun_Multimodal/Train/case10_img_019.jpg,2.007137887900287,0.8280877544808527
19,fold_1,19,19,case10,positive,Sun_Multimodal/Train/case10_img_020.jpg,2.0834174005405286,0.8807042709005383
20,fold_1,20,20,case10,positive,Sun_Multimodal/Train/case10_img_021.jpg,2.0655004430237636,0.9602074813256108
21,fold_1,21,21,case10,positive,Sun_Multimodal/Train/case10_img_022.jpg,1.092884952374151,-0.24274946505313633
22,fold_1,22,22,case10,positive,Sun_Multimodal/Train/case10_img_023.jpg,1.8524759534339623,1.0321416660995681
23,fold_1,23,23,case10,positive,Sun_Multimodal/Train/case10_img_024.jpg,1.876189968435941,0.9796319199490495
24,fold_1,24,24,case10,positive,Sun_Multimodal/Train/case10_img_025.jpg,1.8020513012409725,1.238511145167141
25,fold_1,25,25,case10,positive,Sun_Multimodal/Train/case10_img_026.jpg,1.7039930077654526,1.211768628599219
26,fold_1,26,26,case10,positive,Sun_Multimodal/Train/case10_img_027.jpg,1.7291987243388671,1.3314596997697223
27,fold_1,27,27,case10,positive,Sun_Multimodal/Train/case10_img_028.jpg,0.6599137802617465,0.7868349224186852
28,fold_1,28,28,case10,positive,Sun_Multimodal/Train/case10_img_029.jpg,1.0000979376384802,0.524791711939752
29,fold_1,29,29,case10,positive,Sun_Multimodal/Train/case10_img_030.jpg,0.4536328863665158,-0.08690477675230102
30,fold_1,30,30,case10,positive,Sun_Multimodal/Train/case10_img_031.jpg,0.90488822861211,0.649303589314719
31,fold_1,31,31,case10,positive,Sun_Multimodal/Train/case10_img_032.jpg,1.3419037667138152,1.257638985424339
32,fold_1,32,32,case10,positive,Sun_Multimodal/Train/case10_img_033.jpg,1.2203397910350764,1.057659873462494
33,fold_1,33,33,case10,positive,Sun_Multimodal/Train/case10_img_034.jpg,1.3176884887052236,0.8723155821548473
34,fold_1,34,34,case10,positive,Sun_Multimodal/Train/case10_img_035.jpg,1.119328675711231,0.7129704921627846
35,fold_1,35,35,case10,positive,Sun_Multimodal/Train/case10_img_036.jpg,1.5100586811515033,0.6638069127045876
36,fold_1,36,36,case10,positive,Sun_Multimodal/Train/case10_img_037.jpg,1.3573195369633522,0.8029975096830988
